MATCH,DATE,PLACEMENT,MAP,MODE,DAMAGE,KILLS
1,08/15/2019,9/100,Sanhok,SQUAD-FPP,226.26,2
2,08/15/2019,13/100,Sanhok,SQUAD-FPP,202.63,0
3,08/15/2019,15/100,Mirimar,SQUAD-FPP,247.81,2
4,08/15/2019,27/100,Erangel,SQUAD-FPP,0,0
5,08/15/2019,21/100,Vikendi,SQUAD-FPP,277.95,2
6,08/15/2019,23/100,Vikendi,SQUAD-FPP,182,2
7,08/15/2019,9/100,Vikendi,SQUAD-FPP,445.54,3
8,08/15/2019,5/100,Sanhok,SQUAD-FPP,266.18,1
9,08/15/2019,9/100,Sanhok,SQUAD-FPP,28.2,0
10,08/15/2019,33/100,Sanhok,DUO-FPP,48.3,0
11,08/15/2019,38/100,Sanhok,SOLO-FPP,21.15,0
12,08/15/2019,59/100,Sanhok,SOLO-FPP,188.19,0
13,08/15/2019,23/100,Sanhok,SOLO-FPP,184.54,2
14,08/15/2019,18/100,Sanhok,SOLO-FPP,391,4
15,08/15/2019,2/100,Sanhok,SOLO-FPP,328.13,4
16,08/15/2019,1/100,Sanhok,SOLO-FPP,513.45,3
17,08/15/2019,1/100,Sanhok,SOLO-FPP,617.87,6
18,08/14/2019,17/100,Sanhok,DUO-FPP,349.96,2
19,08/14/2019,23/100,Sanhok,DUO-FPP,89.51,0
20,08/14/2019,43/100,Sanhok,DUO-FPP,77.8,0
21,08/14/2019,17/100,Sanhok,SQUAD-FPP,130.36,0
22,08/14/2019,21/100,Erangel,SQUAD-FPP,168.98,1
23,08/14/2019,8/100,Sanhok,SQUAD-FPP,233.29,0
24,08/14/2019,6/100,Sanhok,DUO-FPP,434.58,3
25,08/14/2019,17/100,Sanhok,DUO-FPP,336.4,4
26,08/14/2019,34/100,Sanhok,DUO-FPP,200.0,2
27,08/14/2019,59/100,Sanhok,SOLO-FPP,286,2
28,08/14/2019,19/100,Sanhok,SQUAD-FPP,425.89,3
29,08/14/2019,19/100,Erangel,SQUAD-FPP,322.54,1
30,08/14/2019,7/100,Sanhok,SQUAD-FPP,24.84,0
31,08/14/2019,7/100,Vikendi,DUO-FPP,500.0,5
32,08/14/2019,10/100,Vikendi,DUO-FPP,0,0
33,08/14/2019,35/100,Vikendi,DUO-FPP,20.28,0
34,08/13/2019,3/100,Vikendi,SQUAD-FPP,585.22,5
35,08/13/2019,4/100,Vikendi,SQUAD-FPP,935.66,6
36,08/13/2019,21/100,Vikendi,SQUAD-FPP,56.76,1
37,08/13/2019,1/100,Vikendi,SQUAD-FPP,898.7,8
38,08/13/2019,14/100,Vikendi,SQUAD-FPP,628.4,3
39,08/13/2019,47/100,Vikendi,DUO-FPP,26.79,0
40,08/13/2019,1/100,Vikendi,DUO-FPP,1023.3,6
41,08/13/2019,1/100,Erangel,DUO-FPP,958.58,9
42,08/13/2019,9/100,Erangel,DUO-FPP,200,1
43,08/13/2019,15/100,Erangel,DUO-FPP,71.42,2
44,08/13/2019,23/100,Sanhok,DUO-FPP,100.0,1
45,08/13/2019,20/100,Sanhok,DUO-FPP,290.71,2
46,08/13/2019,44/100,Sanhok,DUO-FPP,0,0
47,08/13/2019,14/100,Mirimar,SQUAD-FPP,166.77,3
48,08/13/2019,7/100,Mirimar,SQUAD-FPP,491.82,2
49,08/13/2019,3/100,Sanhok,DUO-FPP,773.87,3
50,08/13/2019,37/100,Sanhok,DUO-FPP,223.37,2
51,08/13/2019,32/100,Sanhok,DUO-FPP,91.08,0
52,08/12/2019,26/100,Sanhok,DUO-FPP,410.2,1
53,08/12/2019,24/100,Erangel,SQUAD-FPP,97.17,0
54,08/12/2019,19/100,Sanhok,SQUAD-FPP,192.3,2
55,08/12/2019,13/100,Vikendi,SQUAD-FPP,419.46,3
56,08/12/2019,25/100,Erangel,SQUAD-FPP,173.5,1
57,08/12/2019,20/100,Sanhok,SQUAD-FPP,193.55,2
58,08/12/2019,20/100,Vikendi,SQUAD-FPP,366.27,2
59,08/12/2019,14/100,Sanhok,SQUAD-FPP,0,0
60,08/12/2019,17/100,Erangel,DUO-FPP,464.37,3
61,08/12/2019,12/100,Sanhok,DUO-FPP,248.74,3
62,08/11/2019,2/100,Sanhok,SQUAD-FPP,265.26,4
63,08/11/2019,21/100,Vikendi,SQUAD-FPP,270.11,2
64,08/11/2019,3/100,Sanhok,SQUAD-FPP,797.04,4
65,08/11/2019,6/100,Mirimar,SQUAD-FPP,307.17,2
66,08/11/2019,12/100,Vikendi,SQUAD-FPP,523.6,5
67,08/11/2019,8/100,Vikendi,SQUAD-FPP,289.87,2
68,08/11/2019,25/100,Vikendi,SQUAD-FPP,118.9,0
69,08/11/2019,5/100,Vikendi,DUO-FPP,487.87,2
70,08/11/2019,18/100,Vikendi,DUO-FPP,301.43,2
71,08/11/2019,29/100,Vikendi,SQUAD-FPP,0,0
72,08/11/2019,1/100,Erangel,SQUAD-FPP,141.67,1
73,08/11/2019,41/100,Vikendi,DUO-FPP,100,1
74,08/11/2019,20/100,Vikendi,DUO-FPP,808.55,4
75,08/11/2019,1/100,Erangel,DUO-FPP,878.89,11
76,08/11/2019,3/100,Erangel,DUO-FPP,580.88,3
77,08/11/2019,30/100,Vikendi,DUO-FPP,360,3
78,08/11/2019,2/100,Sanhok,DUO-FPP,904.49,9
79,08/11/2019,30/100,Vikendi,DUO-FPP,0,0
80,08/10/2019,5/100,Vikendi,SQUAD-FPP,939.12,7
81,08/10/2019,8/100,Erangel,SQUAD-FPP,665.79,4
82,08/10/2019,24/100,Vikendi,SQUAD-FPP,292.97,2
83,08/10/2019,18/100,Erangel,SQUAD-FPP,37.79,0
84,08/10/2019,17/100,Vikendi,SQUAD-FPP,0,0
85,08/10/2019,7/100,Mirimar,SQUAD-FPP,346.62,3
86,08/10/2019,12/100,Erangel,SQUAD-FPP,490.82,4
87,08/10/2019,28/100,Mirimar,SQUAD-FPP,127.28,0
88,08/10/2019,19/100,Sanhok,SQUAD-FPP,0,0
89,08/10/2019,13/100,Mirimar,SQUAD-FPP,86.98,0
90,08/10/2019,10/100,Vikendi,SQUAD-FPP,258.29,0
91,08/10/2019,16/100,Sanhok,SQUAD-FPP,271.21,2
92,08/10/2019,15/100,Erangel,SQUAD-FPP,298.11,2
93,08/10/2019,12/100,Sanhok,SQUAD-FPP,0,0
94,08/10/2019,23/100,Vikendi,SQUAD-FPP,100,0
95,08/10/2019,25/100,Sanhok,SQUAD-FPP,19.13,0
96,08/10/2019,8/100,Mirimar,SQUAD-FPP,77.39,0
97,08/10/2019,7/100,Sanhok,SQUAD-FPP,140.59,0
98,08/10/2019,22/100,Erangel,SQUAD-FPP,56.88,0
99,08/10/2019,20/100,Sanhok,SQUAD-FPP,300,3
100,08/10/2019,21/100,Sanhok,SQUAD-FPP,367.41,3
101,08/10/2019,11/100,Vikendi,SQUAD-FPP,0,0
102,08/10/2019,4/100,Mirimar,SQUAD-FPP,0,0
103,08/10/2019,23/100,Sanhok,SQUAD-FPP,100,1
104,08/10/2019,6/100,Erangel,SQUAD-FPP,386.39,3
105,08/10/2019,25/100,Mirimar,SQUAD-FPP,49.2,0
106,08/10/2019,23/100,Erangel,SQUAD-FPP,220.48,1
107,08/09/2019,2/100,Vikendi,DUO-FPP,627.04,4
108,08/09/2019,15/100,Vikendi,DUO-FPP,210,2
109,08/09/2019,32/100,Vikendi,DUO-FPP,0,0
110,08/09/2019,2/100,Sanhok,DUO-FPP,588.54,7
111,08/08/2019,33/100,Vikendi,DUO-FPP,114.4,0
112,08/08/2019,18/100,Vikendi,SQUAD-FPP,219.85,0
113,08/08/2019,11/100,Vikendi,SQUAD-FPP,320.38,2
114,08/08/2019,18/100,Sanhok,SQUAD-FPP,110.12,1
115,08/08/2019,6/100,Sanhok,SQUAD-FPP,512.99,5
116,08/08/2019,25/100,Sanhok,SQUAD-FPP,0,0
117,08/08/2019,19/100,Sanhok,SQUAD-FPP,123.37,1
118,08/08/2019,9/100,Sanhok,SQUAD-FPP,0,0
119,08/08/2019,18/100,Sanhok,SQUAD-FPP,200,1
120,08/08/2019,47/100,Sanhok,DUO-FPP,200,2
121,08/08/2019,5/100,Vikendi,DUO-FPP,598.96,6
122,08/08/2019,21/100,Vikendi,DUO-FPP,0,0
123,08/08/2019,8/100,Vikendi,DUO-FPP,490.62,4
124,08/07/2019,9/100,Vikendi,DUO-FPP,364.35,2
125,08/07/2019,2/100,Sanhok,DUO-FPP,907.53,6
126,08/07/2019,36/100,Erangel,DUO-FPP,66.15,0
127,08/07/2019,18/100,Erangel,SOLO-FPP,186.84,0
128,08/07/2019,39/100,Erangel,SOLO-FPP,100,1
129,08/07/2019,5/100,Sanhok,SOLO-FPP,429.66,5
130,08/06/2019,2/100,Vikendi,SQUAD-FPP,102.27,1
131,08/06/2019,26/100,Vikendi,SQUAD-FPP,319.5,1
132,08/06/2019,19/100,Sanhok,SQUAD-FPP,118.69,0
133,08/06/2019,22/100,Vikendi,SQUAD-FPP,191.6,3
134,08/06/2019,36/100,Sanhok,DUO-FPP,280,3
135,08/06/2019,19/100,Sanhok,DUO-FPP,200,2
136,08/06/2019,22/100,Sanhok,DUO-FPP,0,0
137,08/06/2019,47/100,Sanhok,DUO-FPP,0,0
138,08/06/2019,44/100,Mirimar,DUO-FPP,0,0
139,08/06/2019,26/100,Vikendi,SQUAD-FPP,0,0
140,08/06/2019,28/100,Vikendi,SQUAD-FPP,196.6,0
141,08/06/2019,19/100,Vikendi,SQUAD-FPP,40.84,1
142,08/06/2019,28/100,Vikendi,SQUAD-FPP,65.92,0
143,08/06/2019,6/100,Vikendi,SQUAD-FPP,230.8,1
144,08/06/2019,47/100,Vikendi,DUO-FPP,100,1
145,08/06/2019,46/100,Vikendi,DUO-FPP,198.74,1
146,08/06/2019,39/100,Vikendi,DUO-FPP,0,0
147,08/06/2019,17/100,Vikendi,DUO-FPP,431.96,2
148,08/06/2019,1/100,Vikendi,DUO-FPP,1317.18,6
149,08/06/2019,42/100,Vikendi,DUO-FPP,100.0,1
150,08/06/2019,5/100,Erangel,DUO-FPP,411.72,4
151,08/06/2019,24/100,Erangel,DUO-FPP,424.06,4
152,08/06/2019,37/100,Erangel,DUO-FPP,230.29,0
153,08/06/2019,2/100,Erangel,DUO-FPP,311.41,2
154,08/06/2019,5/100,Sanhok,DUO-FPP,364.86,3
155,08/06/2019,4/100,Sanhok,DUO-FPP,549.17,4
156,08/06/2019,4/100,Erangel,DUO-FPP,549.71,3
157,08/06/2019,42/100,Erangel,DUO-FPP,0,0
158,08/04/2019,7/100,Mirimar,DUO-FPP,369.3,2
159,08/04/2019,16/100,Sanhok,DUO-FPP,175,2
160,08/04/2019,4/100,Sanhok,DUO-FPP,354.2,1
161,08/04/2019,10/100,Vikendi,DUO-FPP,70.45,0
162,08/04/2019,5/100,Vikendi,DUO-FPP,443.95,3
163,08/04/2019,20/100,Mirimar,SQUAD-FPP,0,0
164,08/04/2019,11/100,Vikendi,SQUAD-FPP,384.03,2
165,08/04/2019,17/100,Vikendi,SQUAD-FPP,41,0
166,08/04/2019,18/100,Mirimar,SQUAD-FPP,100.0,1
167,08/04/2019,13/100,Sanhok,SQUAD-FPP,40.64,0
168,08/04/2019,14/100,Erangel,SQUAD-FPP,104,1
169,08/04/2019,14/100,Sanhok,DUO-FPP,194.67,1
170,08/04/2019,37/100,Erangel,DUO-FPP,26.46,0
171,08/03/2019,2/100,Erangel,SQUAD-FPP,466.43,2
172,08/03/2019,18/100,Sanhok,SQUAD-FPP,388.22,1
173,08/03/2019,29/100,Sanhok,SQUAD-FPP,0,0
174,08/03/2019,3/100,Sanhok,SQUAD-FPP,755.11,6
175,08/03/2019,14/100,Vikendi,SQUAD-FPP,0,0
176,08/03/2019,12/100,Sanhok,SQUAD-FPP,206.08,3
177,08/03/2019,23/100,Sanhok,SQUAD-FPP,300.0,3
178,08/03/2019,27/100,Mirimar,SQUAD-FPP,99.37,0
179,08/03/2019,1/100,Sanhok,SQUAD-FPP,589.69,6
180,08/03/2019,9/100,Sanhok,SQUAD-FPP,476.79,5
181,08/03/2019,5/100,Vikendi,SQUAD-FPP,687.84,5
182,08/03/2019,19/100,Vikendi,SQUAD-FPP,285.7,4
183,08/03/2019,16/100,Sanhok,SQUAD-FPP,231.61,3
184,08/03/2019,6/100,Sanhok,SQUAD-FPP,164.88,0
185,08/03/2019,1/100,Sanhok,SQUAD-FPP,395.83,2
186,08/03/2019,9/100,Sanhok,SQUAD-FPP,403.0,3
187,08/03/2019,2/100,Erangel,SQUAD-FPP,277.55,1
188,08/03/2019,3/100,Erangel,SQUAD-FPP,671.87,6
189,08/03/2019,17/100,Erangel,SQUAD-FPP,254.78,3
190,08/03/2019,11/100,Sanhok,SQUAD-FPP,150.7,0
191,08/03/2019,14/100,Mirimar,SQUAD-FPP,45.75,0
192,08/03/2019,4/100,Mirimar,SQUAD-FPP,185.31,0
193,08/02/2019,21/100,Mirimar,SQUAD-FPP,250.36,1
194,08/02/2019,16/100,Vikendi,SQUAD-FPP,574.53,6
195,08/02/2019,11/100,Mirimar,SQUAD-FPP,724.53,5
196,08/02/2019,1/100,Vikendi,SQUAD-FPP,191.66,3
197,08/02/2019,17/100,Vikendi,SQUAD-FPP,235.27,2
198,08/02/2019,41/100,Sanhok,DUO-FPP,336.03,0
199,08/02/2019,37/100,Sanhok,DUO-FPP,0,0
200,08/02/2019,74/100,Sanhok,SOLO-FPP,60.03,0
201,08/02/2019,4/100,Sanhok,DUO-FPP,480.85,3
202,08/02/2019,42/100,Sanhok,DUO-FPP,0,0
203,08/02/2019,12/100,Sanhok,DUO-FPP,693.5,6
204,08/02/2019,26/100,Sanhok,DUO-FPP,198.81,1
205,08/02/2019,12/100,Sanhok,DUO-FPP,20.52,0
206,08/02/2019,6/100,Erangel,SQUAD-FPP,830.02,4
207,08/02/2019,11/100,Mirimar,DUO-FPP,301.06,4
208,08/02/2019,13/100,Erangel,DUO-FPP,409.74,3
209,08/02/2019,39/100,Vikendi,DUO-FPP,232.76,1
210,08/02/2019,25/100,Mirimar,DUO-FPP,32.2,0
211,08/02/2019,49/100,Mirimar,DUO-FPP,0,0
212,08/02/2019,10/100,Sanhok,DUO-FPP,350.49,2
213,08/02/2019,5/100,Mirimar,SQUAD-FPP,0,0
214,08/02/2019,16/100,Erangel,SQUAD-FPP,0,1
215,08/02/2019,3/100,Sanhok,SQUAD-FPP,133.0,1
216,08/02/2019,29/100,Vikendi,SQUAD-FPP,39.96,0

  Stats for dstlny accross 216 matches
  - Won 11 out of 216 games
  - Averages 1.93 kills per game
  - Total of 416 kills and 59167.47 damage across 216 matches
  - Highest kill game of 9 in DUO-FPP
